method,tau,precision,recall,f1,iou,mcc,count_mae,ms_per_tile
U-Net (semantic),0.3,0.09300205356814314,0.9993928567422332,0.17016847485469958,0.09299679926076766,-0.0012423862696023236,23.504273504273506,12.101741477799338
Mask R-CNN (instance),0.2,0.20645200745196704,0.38815383579929724,0.26954036653256697,0.1557622968161295,0.17980547273820693,78.97435897435898,918.7201969325542
YOLOv8 (detection),0.05,0.16159970842210564,0.5433637699529982,0.2491119876716881,0.14227751079526027,0.15930155152137357,101.5982905982906,9.650712952208824
Classical (thr+morph),0.5,0.16995536997413183,0.11939409065924804,0.14025715987975873,0.07541750255749373,0.07004495983207658,15.581196581196581,0.9306021926240025
Predict-all (baseline),0.5,0.09301027477297008,0.9999999999999986,0.17019103449360304,0.09301027477297008,0.0,23.504273504273506,0.0
