method,tau,n,precision,recall,f1,iou,mcc,ms_per_tile
U-Net (semantic),0.25,314,0.5266486679926272,0.4086091777083109,0.46018000261366593,0.29885311532117426,0.45154487549651134,20.47138123133125
Mask R-CNN (instance),0.5,314,0.4139360486062608,0.35155968154730916,0.3802064975846988,0.2347252891378009,0.3664839444492028,1129.5362109578641
YOLOv8 train-5 (class1),0.01,314,0.06326147488974769,0.22786366598354804,0.09902952037153706,0.05209419177765128,0.07576452117800489,10.453145828685326
Classical (Sato ridge),0.05,314,0.021082287788979567,0.3918516909535629,0.040011868843692504,0.020414342467962733,-0.028089536890799786,28.708836504749087
Predict-all (baseline),0.5,314,0.0257278248003334,0.999999999999998,0.050165012887817544,0.0257278248003334,0.0,0.0
