method,regime,tau,n,precision,recall,f1,iou,mcc,count_mae,ms_per_tile
U-Net (semantic),fair(1-20%),0.3,94,0.09673305851548013,0.9995267813243057,0.17639482725476222,0.0967286285801051,-0.00015858941496642935,24.04255319148936,12.557438745638951
Mask R-CNN (instance),fair(1-20%),0.2,94,0.21433707199504487,0.4006903622807791,0.2792811965839532,0.1623049603208319,0.1869311402122486,82.79787234042553,924.0457110101992
YOLOv8 (detection),fair(1-20%),0.05,94,0.16306257714024697,0.5631184775112044,0.2528943696992894,0.14475047513550954,0.15892701441942278,105.51063829787235,9.768993796859966
Classical (thr+morph),fair(1-20%),0.5,94,0.17307548177930102,0.12013042040948498,0.1418227270501748,0.07632357237135289,0.06928726769525366,15.606382978723405,0.9379307912821149
U-Net (semantic),dense(>=20%),0.3,192,0.8951365915108642,0.9999974252953895,0.9446659480417471,0.8951345284779865,-0.0005196078341350352,4.890625,12.832692449592287
Mask R-CNN (instance),dense(>=20%),0.05,192,0.7812146210848931,0.07198518958881789,0.13182347637427477,0.07056264484249117,-0.11148749557539865,41.338541666666664,920.9489635250065
YOLOv8 (detection),dense(>=20%),0.1,192,0.9052891834932877,0.9923766547804095,0.9468346143257778,0.8990369681274187,0.23970219999909556,12.578125,9.076100046513602
Classical (thr+morph),dense(>=20%),0.5,192,0.9122001800659887,0.24548299150134395,0.38685822573384504,0.23981663132128467,0.03137374110180339,49.25,1.3464585341959416
