method,tau,precision,recall,f1,iou,mcc,count_mae,ms_per_tile
U-Net (semantic),0.3,0.8231153853327206,0.9999884647867013,0.9029720276393228,0.8231075699913155,0.013385534310911105,8.433333333333334,12.346366169448528
Mask R-CNN (instance),0.05,0.6159637896175176,0.0638842770923023,0.1157623395100861,0.0614372284973464,-0.1658089204791369,50.81111111111111,917.5678440085094
YOLOv8 (detection),0.2,0.8934930421631387,0.9403203081549837,0.9163087967892402,0.8455441873077602,0.4695364012960509,6.322222222222222,9.163968953200513
Classical (thr+morph),0.5,0.8783988634226595,0.23764681648711553,0.3740862888840328,0.23007757837258314,0.07759452634084849,42.922222222222224,1.2563620357670717
Predict-all (baseline),0.5,0.8230760362413193,0.9999999999999998,0.9029530523442112,0.8230760362413193,0.0,8.433333333333334,0.0
