iter	MultiClass
0	0.9656843695
1	0.867993547
2	0.7808067529
3	0.7057139281
4	0.6414583898
5	0.5861071373
6	0.5368383316
7	0.4941082099
8	0.4581813373
9	0.4267259675
10	0.3989004843
11	0.3735795983
12	0.3519557156
13	0.3323111501
14	0.3148681622
15	0.2977346477
16	0.2805790854
17	0.2679606887
18	0.2545986478
19	0.2440006542
20	0.2325364284
21	0.2227705202
22	0.2137564268
23	0.2057156574
24	0.198047459
25	0.1918428193
26	0.1848245414
27	0.1800481516
28	0.1746384611
29	0.1699103886
30	0.1660481646
31	0.1615432838
32	0.1572307331
33	0.1540019289
34	0.1511774159
35	0.1481611276
36	0.1451792369
37	0.141907275
38	0.1398797284
39	0.1377935069
40	0.1358424965
41	0.1336566724
42	0.1318815208
43	0.1304354205
44	0.1284836084
45	0.1271582504
46	0.1263439063
47	0.125332533
48	0.1238345024
49	0.1225701648
50	0.1218272182
51	0.1212016424
52	0.1206060939
53	0.1191698649
54	0.1186594939
55	0.1177528679
56	0.1167032848
57	0.1157265641
58	0.1147736118
59	0.1134586639
60	0.1129604554
61	0.1118226044
62	0.111107093
63	0.1104829461
64	0.1100247939
65	0.1096086068
66	0.1092053425
67	0.1083731732
68	0.1077266227
69	0.1069181763
70	0.1063475071
71	0.1060008198
72	0.1057426955
73	0.1048320296
74	0.1045611915
75	0.1039446496
76	0.1034023063
77	0.1031112791
78	0.1024614961
79	0.1019390923
80	0.1015956926
81	0.1010431774
82	0.1007626856
83	0.1003566001
84	0.09977873992
85	0.0995262219
86	0.09880619284
87	0.09834317134
88	0.098023316
89	0.09760647024
90	0.09730503163
91	0.09712238677
92	0.09658104288
93	0.09637203839
94	0.09599382236
95	0.09558581797
96	0.0949353837
97	0.0944881256
98	0.09421629205
99	0.09362657476
100	0.09313366345
101	0.0926259467
102	0.09239776953
103	0.09193009378
104	0.09163534835
105	0.09141565103
106	0.09107968656
107	0.09079984164
108	0.09056599046
109	0.09012637686
110	0.08964360383
111	0.08935548649
112	0.08907443913
113	0.08866411251
114	0.08833640794
115	0.08781165889
116	0.08743099658
117	0.08711305079
118	0.08679973933
119	0.08649371356
120	0.08607105634
121	0.08542215079
122	0.08514145536
123	0.08467742106
124	0.08443220202
125	0.08415490991
126	0.08381713143
127	0.0834383054
128	0.08328025196
129	0.08289101341
130	0.08261084551
131	0.08204394721
132	0.08183750631
133	0.08163588239
134	0.08144216613
135	0.08121401553
136	0.08079371786
137	0.08051188963
138	0.08031902974
139	0.08002854267
140	0.07982898306
141	0.07966886206
142	0.07932326582
143	0.07912584506
144	0.07889215975
145	0.07851698185
146	0.07818389477
147	0.07802691483
148	0.07778061258
149	0.07751044363
150	0.07715675923
151	0.07689644956
152	0.07676012911
153	0.0764379683
154	0.07623897838
155	0.07600538604
156	0.07564684229
157	0.07546643803
158	0.07499333821
159	0.07481252122
160	0.07466090354
161	0.07426692529
162	0.07408299165
163	0.07392853818
164	0.07332865218
165	0.07317357672
166	0.07302883542
167	0.07285989642
168	0.07254847276
169	0.07228975978
170	0.07217903132
171	0.07187303353
172	0.07171665883
173	0.07154020063
174	0.07133339868
175	0.07103400162
176	0.07084168038
177	0.07067006447
178	0.07055761084
179	0.07008273547
180	0.06996054594
181	0.06958793504
182	0.069432978
183	0.0691574484
184	0.06895255578
185	0.06877142667
186	0.06865901257
187	0.06853318348
188	0.0683621092
189	0.06810371692
190	0.06791144793
191	0.06783575628
192	0.06763065819
193	0.06744056025
194	0.06722905941
195	0.06710206121
196	0.06693053758
197	0.06674593216
198	0.06657734174
199	0.06638801616
200	0.06618897081
201	0.06592298787
202	0.06580414001
203	0.06561930163
204	0.06547836676
205	0.06526927678
206	0.06479083426
207	0.06467360351
208	0.06439691531
209	0.06426342612
210	0.06411809335
211	0.0638791422
212	0.06372380573
213	0.06360271573
214	0.06346694858
215	0.06333006381
216	0.06325316257
217	0.06308298617
218	0.0629019111
219	0.06266535866
220	0.06252864657
221	0.06215819836
222	0.06195803263
223	0.06190302839
224	0.06158823274
225	0.06136460798
226	0.06121826396
227	0.0610204491
228	0.06093681599
229	0.06068125683
230	0.06059905288
231	0.06045313828
232	0.06034291427
233	0.06014695187
234	0.06007707593
235	0.0599709513
236	0.05976738251
237	0.05967057171
238	0.05956803015
239	0.05946442511
240	0.05938337397
241	0.05917932425
242	0.05908154146
243	0.05882482987
244	0.05869593926
245	0.05853093761
246	0.05839814104
247	0.05825834535
248	0.05806085608
249	0.05795132938
250	0.05787362559
251	0.05771905004
252	0.05760961471
253	0.05717143141
254	0.05711676003
255	0.05695863485
256	0.05683170289
257	0.05663413756
258	0.05648310293
259	0.05636434562
260	0.05626458702
261	0.0561974864
262	0.05596380934
263	0.05587558706
264	0.05570709424
265	0.05556539786
266	0.05538767332
267	0.05523699854
268	0.05503138929
269	0.0548855456
270	0.05481557895
271	0.05469811413
272	0.05458062463
273	0.05440988013
274	0.05423291607
275	0.05416202813
276	0.05397189076
277	0.05382802198
278	0.05370169665
279	0.05355367258
280	0.05347251199
281	0.05329877748
282	0.05321565362
283	0.0531518903
284	0.05305009116
285	0.05270581514
286	0.05264202206
287	0.05255357486
288	0.05238338498
289	0.05229669078
290	0.05215630939
291	0.05207465543
292	0.05196894904
293	0.05193422381
294	0.05175332686
295	0.05161734482
296	0.05146257946
297	0.05138238212
298	0.05117680306
299	0.05097828762
300	0.05073654949
301	0.0507097945
302	0.05062677335
303	0.05053012567
304	0.05043336753
305	0.05030727345
306	0.05001533132
307	0.04981890482
308	0.04976459473
309	0.04962532663
310	0.04954267955
311	0.04946390717
312	0.04936046595
313	0.04925002
314	0.04918885071
315	0.04912828656
316	0.04903797936
317	0.04896591342
318	0.04890725378
319	0.04886169778
320	0.04869292939
321	0.04859245025
322	0.04854755201
323	0.04848295303
324	0.04840333158
325	0.04836738742
326	0.04829355126
327	0.04819424558
328	0.04808598907
329	0.04797520283
330	0.04792583043
331	0.04784519512
332	0.04778026175
333	0.04768295444
334	0.04752858466
335	0.04740521288
336	0.04732852283
337	0.0471458097
338	0.04701493058
339	0.04694344361
340	0.04683632143
341	0.0466382885
342	0.04654202708
343	0.04643219287
344	0.04615079364
345	0.04607198823
346	0.04602397201
347	0.04585692162
348	0.04569348232
349	0.04556652581
350	0.04548980383
351	0.04544265377
352	0.04527239834
353	0.04518741564
354	0.04511478278
355	0.04504410058
356	0.04491160878
357	0.04466970048
358	0.04456319779
359	0.04450697723
360	0.04447112051
361	0.0443821616
362	0.04434042736
363	0.0441614882
364	0.04408528745
365	0.04401209166
366	0.04394512486
367	0.04388969737
368	0.0438243201
369	0.04372401472
370	0.0436680768
371	0.04362826234
372	0.04354839217
373	0.04349980961
374	0.04340874731
375	0.04335794904
376	0.0432523577
377	0.04314679959
378	0.04304943803
379	0.04295931556
380	0.0429028445
381	0.04285205556
382	0.04282624553
383	0.04274224551
384	0.04267616121
385	0.04256883397
386	0.0424380248
387	0.04230849198
388	0.04222009287
389	0.04214270199
390	0.04209061469
391	0.04202549326
392	0.04193001081
393	0.0418399638
394	0.04176334163
395	0.04166603274
396	0.04161753078
397	0.04140842133
398	0.04138682908
399	0.04133158045
400	0.04108437608
401	0.04104503479
402	0.04095634718
403	0.04088713276
