epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1669.37,2.61925,2.23779,1.49038,0.8814,0.03042,0.02298,0.00874,2.57168,2.24315,1.47254,0.0005941,0.0005941,0.0005941
43,1708.79,2.58411,2.2209,1.48408,0.88601,0.03088,0.02503,0.00949,2.50682,2.21157,1.48199,0.0005842,0.0005842,0.0005842
44,1748.46,2.6016,2.23414,1.48092,0.88186,0.03261,0.02518,0.0099,2.48219,2.20524,1.47434,0.0005743,0.0005743,0.0005743
45,1787.98,2.58329,2.20778,1.48305,0.88053,0.0321,0.02393,0.00892,2.49915,2.18018,1.45868,0.0005644,0.0005644,0.0005644
46,1827.41,2.5535,2.1995,1.47511,0.8794,0.03109,0.02331,0.009,2.53783,2.22522,1.45821,0.0005545,0.0005545,0.0005545
47,1866.92,2.56973,2.1972,1.48095,0.88074,0.03117,0.02398,0.00907,2.56435,2.27202,1.4821,0.0005446,0.0005446,0.0005446
48,1906.34,2.57405,2.19484,1.46957,0.88513,0.03092,0.02523,0.00984,2.5263,2.23238,1.48294,0.0005347,0.0005347,0.0005347
49,1946.11,2.55748,2.18257,1.47684,0.71354,0.03278,0.02559,0.00998,2.49041,2.18523,1.46872,0.0005248,0.0005248,0.0005248
50,1985.62,2.53838,2.17367,1.46978,0.71465,0.03083,0.02329,0.00902,2.55178,2.22121,1.48518,0.0005149,0.0005149,0.0005149
51,2024.94,2.54495,2.16695,1.4666,0.88578,0.03058,0.02459,0.0094,2.55177,2.17683,1.48788,0.000505,0.000505,0.000505
52,2064.34,2.55133,2.1686,1.47053,0.71923,0.03601,0.02476,0.00924,2.55047,2.20347,1.45378,0.0004951,0.0004951,0.0004951
53,2103.86,2.51998,2.15283,1.45613,0.88586,0.03151,0.02905,0.01047,2.52969,2.21279,1.45237,0.0004852,0.0004852,0.0004852
