epoch,train_loss,val_loss,lr,seconds,mAP@0.5,precision,recall,f1,mean_mask_iou,mean_mask_dice,semantic_dice,semantic_iou,count_mae,tp,fp,fn
1,1.0174838044193877,0.859567777812481,0.0002,1840.6789445877075,0.0002752742174811018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.97,0,0,1794
2,0.8735864189473428,0.8189930312335492,0.00019863613034027224,2000.7798175811768,0.002860360303429581,0.029411764705882353,0.002229654403567447,0.004145077720207254,0.5972220450639725,0.7456840928876332,0.03534496626065755,0.021582476667780615,8.48,4,132,1790
3,0.831848825645902,0.8097699306905269,0.00019458172417006345,2046.9673144817352,0.004932521841090339,0.13513513513513514,0.002787068004459309,0.0054614964500273085,0.5485392093658448,0.7061079858864379,0.02554670917524783,0.01688429359277356,8.795,5,32,1789
4,0.8222023335447743,0.8050081889331341,0.0001879473751206489,2103.81467962265,0.010047640381793989,0.13989637305699482,0.015050167224080268,0.02717664821338702,0.600921716954973,0.7485829935653797,0.07495232661081454,0.048099885177439725,8.125,27,166,1767
5,0.8159449909211343,0.8138664522767067,0.00017891405093963938,2150.841786623001,0.009597357912164005,0.09791666666666667,0.026198439241917504,0.041336851363236594,0.6159530028383783,0.7597755290400974,0.08946847267044399,0.056518828036881776,7.46,47,433,1747
6,0.809586855989652,0.8086803096532822,0.00016772815716257412,2181.816907644272,0.008447658257846736,0.08791208791208792,0.008918617614269788,0.016194331983805668,0.6125073581933975,0.7578228398972779,0.07326032952534786,0.04697456542802034,8.3,16,166,1778
7,0.8012799822629778,0.8184817479550839,0.0001546948158122427,2206.8949337005615,0.01045604220742794,0.08421052631578947,0.026755852842809364,0.04060913705583757,0.632901677240928,0.7728307611028572,0.1071092896419634,0.06689863791707908,8.0,48,522,1746
8,0.7941862337629095,0.8161001012474298,0.00014016954246529696,2257.3507924079895,0.014031685464873194,0.09731543624161074,0.048494983277591976,0.06473214285714286,0.6342523495356241,0.7726110445649619,0.11325180869004255,0.0705331512898278,6.13,87,807,1707
9,0.7857009223651203,0.8321767780929804,0.0001245485487140799,2272.7491858005524,0.010862829445452001,0.12117177097203728,0.050724637681159424,0.07151277013752455,0.6502558687231043,0.7845854576813318,0.10695655056146997,0.06708555687602971,5.895,91,660,1703
10,0.7723792252221938,0.8468507734686136,0.00010825793454723325,2300.675183534622,0.011404212099137084,0.10531594784353059,0.05852842809364549,0.07524184879971337,0.6254767764182317,0.7661125243361931,0.12352058171787265,0.0775848572361958,6.205,105,892,1689
11,0.7589392398877474,0.8603940689563752,9.174206545276677e-05,2328.080050945282,0.009163308258185145,0.11031175059952038,0.02564102564102564,0.041610131162369966,0.6087286044722018,0.7532797853470569,0.09371073552233775,0.0570354627318969,7.465,46,371,1748
12,0.7511565802632197,0.8817295211553574,7.545145128592011e-05,2343.232276201248,0.012156716688310042,0.11573472041612484,0.049609810479375696,0.06944986344127975,0.6198033335503568,0.7620695806827656,0.10634018567931688,0.06639242609575406,6.035,89,680,1705
13,0.7391750085609909,0.8922771198302507,5.983045753470306e-05,2374.037006855011,0.013378245931044813,0.1013584117032393,0.05406911928651059,0.07051981097782625,0.6239363876814695,0.7647776259510055,0.11272549344371993,0.07147639899577155,6.495,97,860,1697
14,0.7249356799165503,0.9105833636969328,4.530518418775729e-05,2391.5390903949738,0.012305763371239588,0.10091743119266056,0.06131549609810479,0.07628294036061026,0.6349853732369163,0.7729011506671174,0.11972766229604181,0.07523782666413258,5.63,110,980,1684
15,0.7088125702304886,0.9194005040079355,3.2271842837425906e-05,2388.8114235401154,0.013072261090106427,0.10845771144278607,0.06075808249721293,0.07788495891389782,0.6331107485184976,0.7718897301760284,0.11342760259271285,0.0716491385365913,5.675,109,896,1685
16,0.7016705359934623,0.9191571136564016,2.1085949060360647e-05,2404.975348711014,0.012515590366175075,0.10350727117194183,0.06744704570791528,0.08167397907526155,0.6321805917527065,0.7703580495607025,0.12276325786107384,0.07757220971674156,4.935,121,1048,1673
17,0.6943576442597874,0.9320637453347445,1.20526248793511e-05,2418.3787484169006,0.012069114935080366,0.09527754763877382,0.0641025641025641,0.07664111962679106,0.6284106575924417,0.7684071794123354,0.12021840482749742,0.07572536297407174,5.235,115,1092,1679
18,0.6875269219528235,0.9465577245503664,5.418275829936524e-06,2413.859220981598,0.013354202026096506,0.1039426523297491,0.06465997770345597,0.07972508591065292,0.6249942116696259,0.765796692709872,0.12207516727826474,0.07725007119244269,5.09,116,1000,1678
19,0.6818924953800967,0.9494287283718585,1.3638696597277675e-06,2422.1352112293243,0.012491752385077484,0.09728308501314636,0.061872909698996656,0.07563884156729131,0.6285137480443662,0.76849306960979,0.12054856908165446,0.07611901042147115,5.355,111,1030,1683
20,0.678968805899768,0.952467358186841,0.0,2427.325344800949,0.01240700146439492,0.10251798561151079,0.06354515050167224,0.07845836200963524,0.6260644202692467,0.7665072805202933,0.12115649974296794,0.07638968616362486,5.17,114,998,1680
