epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,7133.27,1.33253,1.02531,0.99326,0.04836,0.03992,0.02063,0.00858,1.9603,1.67845,0.73614,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,7354.12,1.3365,1.02737,0.98867,0.04659,0.03942,0.01986,0.00829,1.91742,1.64462,0.72523,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,7574.58,1.33115,1.02926,0.9908,0.04773,0.04175,0.02054,0.00853,1.90628,1.55741,0.7144,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,7795.27,1.34334,1.03223,0.98964,0.05194,0.0405,0.02105,0.00868,1.88409,1.60518,0.71502,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,8015.57,1.32766,1.02894,0.99142,0.04899,0.04023,0.02062,0.00859,1.90013,1.65791,0.71384,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,8234.83,1.31749,1.01741,0.98553,0.19125,0.04177,0.01966,0.00806,1.94356,1.71956,0.72203,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,8454.51,1.31013,1.02075,0.98872,0.04832,0.04242,0.02007,0.0084,1.91141,1.67032,0.70769,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,8674.12,1.33306,1.02364,0.98773,0.18977,0.04331,0.01972,0.00828,1.87836,1.6504,0.69849,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,8893.78,1.31572,1.01208,0.98696,0.19012,0.04271,0.02008,0.00843,1.93375,1.61008,0.72198,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,9113.41,1.32588,1.01999,0.98821,0.1902,0.0436,0.02137,0.00887,1.91266,1.58628,0.7143,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
