epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
24,955.629,2.72997,2.35753,1.55115,0.37125,0.02796,0.01825,0.00661,2.6268,2.39908,1.55608,0.0007723,0.0007723,0.0007723
25,995.166,2.71991,2.36171,1.53797,0.37125,0.02331,0.0157,0.00561,2.70227,2.41875,1.54561,0.0007624,0.0007624,0.0007624
26,1034.6,2.72521,2.34198,1.5445,0.20768,0.02661,0.01835,0.00654,2.66879,2.36665,1.57329,0.0007525,0.0007525,0.0007525
27,1074.16,2.70222,2.32054,1.542,0.37379,0.02644,0.01883,0.00718,2.60283,2.33129,1.50504,0.0007426,0.0007426,0.0007426
28,1113.93,2.71531,2.32772,1.53334,0.37144,0.02813,0.0185,0.00676,2.67474,2.44684,1.52053,0.0007327,0.0007327,0.0007327
29,1153.46,2.67838,2.29997,1.53095,0.37373,0.02842,0.01886,0.007,2.63342,2.35132,1.51319,0.0007228,0.0007228,0.0007228
30,1193.05,2.65585,2.29585,1.52251,0.37173,0.02627,0.01747,0.0061,2.7292,2.36296,1.54638,0.0007129,0.0007129,0.0007129
31,1232.51,2.678,2.30876,1.52631,0.21186,0.02589,0.01874,0.00695,2.62411,2.3274,1.54726,0.000703,0.000703,0.000703
32,1272.29,2.67132,2.29638,1.5247,0.37336,0.02661,0.01763,0.00652,2.75534,2.39598,1.53174,0.0006931,0.0006931,0.0006931
33,1311.93,2.66717,2.29924,1.52074,0.20695,0.02745,0.01778,0.00657,2.7002,2.45828,1.56225,0.0006832,0.0006832,0.0006832
34,1351.68,2.67561,2.3024,1.51129,0.37898,0.02796,0.02084,0.00744,2.6418,2.36527,1.49484,0.0006733,0.0006733,0.0006733
35,1391.2,2.64902,2.28375,1.51374,0.2097,0.02919,0.02118,0.0081,2.56924,2.25438,1.53818,0.0006634,0.0006634,0.0006634
36,1430.89,2.63881,2.26126,1.51328,0.37262,0.02771,0.01957,0.00689,2.6427,2.32542,1.51592,0.0006535,0.0006535,0.0006535
37,1470.52,2.64011,2.27177,1.50407,0.3785,0.02969,0.02119,0.00765,2.61554,2.30284,1.54224,0.0006436,0.0006436,0.0006436
38,1509.91,2.63384,2.25741,1.49636,0.37812,0.03142,0.0232,0.00885,2.53388,2.24351,1.51042,0.0006337,0.0006337,0.0006337
39,1549.45,2.588,2.23695,1.50259,0.88173,0.02893,0.02112,0.00786,2.62011,2.28498,1.52116,0.0006238,0.0006238,0.0006238
40,1589.04,2.59182,2.23381,1.49392,0.38606,0.03305,0.02153,0.00793,2.58764,2.29164,1.48961,0.0006139,0.0006139,0.0006139
