epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.0752,3.33614,3.63813,2.01519,0.85112,0.01385,0.00449,0.00135,3.28169,3.22939,1.91427,0.000331395,0.000331395,0.000331395
2,80.4585,3.21239,2.78899,1.79805,0.84474,0.01504,0.00361,0.00098,3.08956,3.26938,1.86876,0.000658148,0.000658148,0.000658148
3,120.322,3.12566,2.67447,1.7687,0.34798,0.0136,0.00455,0.0012,3.20937,2.97764,1.84999,0.0009783,0.0009783,0.0009783
4,160.324,3.10504,2.62565,1.72686,0.01427,0.01474,0.00485,0.00156,3.08131,3.01513,1.81122,0.0009703,0.0009703,0.0009703
5,200.139,3.03727,2.60331,1.69314,0.02874,0.01761,0.00943,0.00312,2.96148,2.63211,1.68566,0.0009604,0.0009604,0.0009604
6,239.883,3.02337,2.57918,1.67319,0.19932,0.01162,0.00798,0.00275,3.04999,2.71486,1.64926,0.0009505,0.0009505,0.0009505
7,279.86,3.0012,2.55768,1.65471,0.19875,0.0204,0.0117,0.00376,2.86605,2.63857,1.66465,0.0009406,0.0009406,0.0009406
8,319.615,2.96179,2.54716,1.64924,0.36066,0.02192,0.00914,0.00299,2.85796,2.59182,1.63016,0.0009307,0.0009307,0.0009307
9,359.465,2.91556,2.50663,1.62691,0.19919,0.02184,0.01153,0.00392,2.81079,2.65137,1.60823,0.0009208,0.0009208,0.0009208
10,399.218,2.88224,2.47938,1.62419,0.36722,0.02002,0.01178,0.0038,2.88096,2.53911,1.67279,0.0009109,0.0009109,0.0009109
11,439.143,2.91331,2.48979,1.62616,0.19428,0.01837,0.00888,0.00287,2.94338,2.79312,1.72248,0.000901,0.000901,0.000901
12,478.632,2.86385,2.47465,1.61278,0.3669,0.02015,0.01133,0.00381,2.8735,2.52709,1.68156,0.0008911,0.0008911,0.0008911
13,518.199,2.84832,2.49107,1.60851,0.36515,0.02285,0.01291,0.00442,2.77353,2.56905,1.62332,0.0008812,0.0008812,0.0008812
14,557.794,2.84353,2.46371,1.60633,0.37064,0.0245,0.01561,0.00532,2.77473,2.46051,1.58921,0.0008713,0.0008713,0.0008713
15,597.73,2.83876,2.43017,1.59737,0.36575,0.02619,0.0151,0.00524,2.74151,2.57473,1.61014,0.0008614,0.0008614,0.0008614
16,637.435,2.80214,2.42539,1.5912,0.36704,0.0231,0.01293,0.00426,2.82658,2.50317,1.64868,0.0008515,0.0008515,0.0008515
17,677.23,2.80208,2.41028,1.57498,0.37125,0.02285,0.01449,0.00522,2.75939,2.53739,1.58139,0.0008416,0.0008416,0.0008416
18,717.236,2.8267,2.4184,1.566,0.3708,0.02491,0.01651,0.00574,2.70361,2.46937,1.54819,0.0008317,0.0008317,0.0008317
19,757.051,2.76121,2.37305,1.56368,0.36471,0.02167,0.01171,0.00398,2.86587,2.52973,1.55083,0.0008218,0.0008218,0.0008218
20,796.849,2.76008,2.37535,1.56099,0.3735,0.02505,0.01711,0.00621,2.71199,2.45194,1.54712,0.0008119,0.0008119,0.0008119
21,836.594,2.76621,2.37276,1.55322,0.37171,0.02585,0.01747,0.00617,2.6896,2.39663,1.54287,0.000802,0.000802,0.000802
22,876.352,2.74034,2.36602,1.55236,0.36973,0.02446,0.01588,0.00555,2.70254,2.45856,1.56886,0.0007921,0.0007921,0.0007921
23,915.97,2.751,2.37775,1.54811,0.20401,0.02796,0.01688,0.00587,2.67405,2.42547,1.53729,0.0007822,0.0007822,0.0007822
